scenario,users_per_cohort,day,daily_emission,base_emission,anomaly_shock,buyer_flow,bps_1,bps_3,bps_whale,share_1,share_3,share_whale,cum_user1,cum_user3,cum_whale,raw_stake1,raw_stake3,raw_stake_whale
A,25,1,123880.55795720978,123880.55795720978,1,29102.554894983772,28,78,53,0.04611096465163782,0.04566897717894518,0.9082200581694171,228.49008115960282,226.29993497051237,56255.403776978455,1051.4997165296404,1037.3767147817023,258380.601034705
A,25,2,123094.43170983667,123094.43170983667,1,32980.91739509255,56,156,106,0.05873706500547008,0.06183423613106126,0.8794286988634686,517.6983066456858,530.7579412411058,110381.79173493834,1710.5619660841435,1786.0257278494112,318821.884804392
A,25,3,122350.62633606615,122350.62633606615,1,31036.796043626964,84,234,159,0.07045631416986999,0.07842753816968175,0.8511161476604482,862.5132733662556,914.5842779233576,162449.08861043613,2491.639670109169,2738.5105454412496,373846.0644740278
A,25,4,121639.84501454166,121639.84501454166,1,27818.559190258387,112,312,212,0.07939968833567636,0.08904712249170572,0.8315531891726179,1248.8399047004389,1347.8514050786373,213024.08913658868,3293.302947655982,3630.2237407217253,427408.0606660867
A,25,5,120956.76558901269,120956.76558901269,1,29938.36077023298,140,390,265,0.0823768254131855,0.09525565752621551,0.8223675170605991,1647.401279159227,1808.724054615666,262759.5466311473,3927.660009970755,4443.520725670754,484759.948254912
A,25,6,120297.79816152866,120297.79816152866,1,38428.55026666075,168,468,318,0.08502637298324603,0.10755304709789663,0.8074205799188573,2056.5406973810423,2326.2598446732723,311325.0056084189,4611.275823042189,5680.641713041095,540113.9124634844
A,25,7,119660.29721635282,119660.29721635282,1,29040.046430192888,196,546,371,0.09124969078372207,0.11376629868128757,0.7949840105349903,2493.2993021842613,2870.792209209562,358889.01709985145,5511.950520919909,6662.071505398938,590937.7781588128
A,25,8,119042.20085676212,119042.20085676212,1,47533.01655687391,224,624,424,0.09671136423573748,0.12755403023399636,0.7757346055302662,2953.808648043547,3478.164708697758,405061.594461389,6512.9355790005175,8289.454867769799,641370.7816099874
A,25,9,118441.83860894527,118441.83860894527,1,31997.13728390634,252,702,477,0.10171003706163088,0.13086888862003004,0.7674210743183391,3435.6775998260878,4098.178780092383,450508.97597614705,7490.378061888507,9258.58482730579,692258.1140261135
A,25,10,117857.8182127853,117857.8182127853,1,38381.811880506575,280,780,530,0.1063228074778082,0.1368850913792191,0.7567921011429727,3936.9165644497875,4743.497908724883,495105.9089168372,8528.696397762067,10500.896679337657,741870.0517239417
