scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
A,25,11,308,858,11,33,24634.991428511355,27177.55449536964,0.4754638280987618,0.5245361719012382,2230.6662014820586,2460.8919563736677,25809.57135137666,27170.873993000707,26129.57135137666,27490.873993000707,117288.95394639314,1324511.1336094344
A,25,12,336,936,12,36,27007.524948782917,30064.019798745572,0.4732222523195763,0.5267777476804237,2209.6491957838184,2459.7195520991504,28019.22054716048,29630.59354509986,28339.22054716048,29950.59354509986,116734.21869707422,1441245.3523065085
A,25,13,364,1014,13,39,29370.76817507712,32987.58373057298,0.470999750274284,0.529000249725716,2189.069505260181,2458.638914936197,30208.29005242066,32089.232460036055,30528.29005242066,32409.232460036055,116192.71050490945,1557438.062811418
A,25,14,392,1092,14,42,31724.999022475546,35948.32064467199,0.46879625794205954,0.5312037420579405,2168.9070466607923,2457.6380887077084,32377.19709908145,34546.87054874376,32697.19709908145,34866.87054874376,115663.62838421251,1673101.6911956305
A,25,15,420,1170,15,45,34070.479377242875,38946.29440294678,0.46661167856866625,0.5333883214313337,2149.143480779757,2456.706692906992,34526.34057986121,37003.57724165075,34846.34057986121,37323.57724165075,115146.25434216872,1788247.9455377993
A,25,16,448,1248,16,48,36407.456637838986,41981.55968140877,0.46444589238836315,0.5355541076116368,2129.761963527726,2455.835623686694,36656.10254338893,39459.41286533745,36976.10254338893,39779.41286533745,114639.9396803605,1902887.8852181598
A,25,17,476,1326,17,51,38736.16502445425,45054.1630112812,0.4622987632645834,0.5377012367354166,2110.746945941847,2455.0168277626954,38766.84948933078,41914.429693100145,39086.84948933078,42234.429693100145,114144.09434261356,2017031.9795607734
A,25,18,504,1404,18,54,41056.82670359305,48164.143622011405,0.4601701433391679,0.539829856660832,2092.0840113788836,2454.243127965564,40858.93350070967,44368.67282106571,41178.93350070967,44688.67282106571,113658.17848361119,2130690.1580443843
A,25,19,532,1482,19,57,43369.652762947415,51311.53413314765,0.45805987635687434,0.5419401236431257,2073.75974136973,2453.508086284453,42932.6932420794,46822.180907350164,43252.6932420794,47142.180907350164,113181.69569135456,2243871.853735739
A,25,20,560,1560,20,60,45674.84406363584,54496.36112889679,0.4559678000863338,0.5440321999136662,2055.761603867191,2452.8058947104482,44988.45484594659,49274.986802060615,45308.45484594659,49594.986802060615,112714.18746444098,2356586.04120018
A,25,21,588,1638,21,63,47972.59199088824,57718.645640238145,0.453893748111056,0.546106251888944,2038.0778592107765,2452.131287076279,47026.53270515736,51727.11808913689,47346.53270515736,52047.11808913689,112255.22865717638,2468841.2698573563
A,25,22,616,1716,22,66,50263.07911979506,60978.40355323278,0.4518375511726444,0.5481624488273555,2020.6974802745804,2451.479467016115,49047.230185431945,54178.59755615301,49367.230185431945,54498.59755615301,111804.42368226738,2580645.6935396236
